,Precision,Recall,Latency-Retriever,Latency-Generator
0,0.4,0.4,4.948793888092041,12.654640913009644
1,0.4,0.25,2.4940860271453857,9.850759029388428
2,0.4,0.4,2.3430020809173584,8.09191370010376
3,0.2,0.14285714285714285,4.688685894012451,10.084713459014893
4,0.2,0.2,3.882113456726074,8.292921543121338
5,0.4,0.25,4.758234739303589,18.133996725082397
6,0.4,0.2857142857142857,4.037050724029541,17.489938735961914
7,0.4,0.25,3.539970636367798,9.53546953201294
8,0.4,0.16666666666666666,3.9791228771209717,12.674238443374634
11,0.4,0.5,2.0161542892456055,9.724355459213257
13,0.4,0.4,2.8227031230926514,10.063771963119507
14,0.4,0.4,2.2042627334594727,10.95802640914917
